QR Data,Caption
Montgomery,What is the capital of Alabama?
Juneau,What is the capital of Alaska?
Phoenix,What is the capital of Arizona?
Little Rock,What is the capital of Arkansas?
Sacramento,What is the capital of California?
Denver,What is the capital of Colorado?
Hartford,What is the capital of Connecticut?
Dover,What is the capital of Delaware?
Tallahassee,What is the capital of Florida?
Atlanta,What is the capital of Georgia?
Honolulu,What is the capital of Hawaii?
Boise,What is the capital of Idaho?
Springfield,What is the capital of Illinois?
Indianapolis,What is the capital of Indiana?
Des Moines,What is the capital of Iowa?
Topeka,What is the capital of Kansas?
Frankfort,What is the capital of Kentucky?
Baton Rouge,What is the capital of Louisiana?
Augusta,What is the capital of Maine?
Annapolis,What is the capital of Maryland?
Boston,What is the capital of Massachusetts?
Lansing,What is the capital of Michigan?
Saint Paul,What is the capital of Minnesota?
Jackson,What is the capital of Mississippi?
Jefferson City,What is the capital of Missouri?
Helena,What is the capital of Montana?
Lincoln,What is the capital of Nebraska?
Carson City,What is the capital of Nevada?
Concord,What is the capital of New Hampshire?
Trenton,What is the capital of New Jersey?
Santa Fe,What is the capital of New Mexico?
Albany,What is the capital of New York?
Raleigh,What is the capital of North Carolina?
Bismarck,What is the capital of North Dakota?
Columbus,What is the capital of Ohio?
Oklahoma City,What is the capital of Oklahoma?
Salem,What is the capital of Oregon?
Harrisburg,What is the capital of Pennsylvania?
Providence,What is the capital of Rhode Island?
Columbia,What is the capital of South Carolina?
Pierre,What is the capital of South Dakota?
Nashville,What is the capital of Tennessee?
Austin,What is the capital of Texas?
Salt Lake City,What is the capital of Utah?
Montpelier,What is the capital of Vermont?
Richmond,What is the capital of Virginia?
Olympia,What is the capital of Washington?
Charleston,What is the capital of West Virginia?
Madison,What is the capital of Wisconsin?
Cheyenne,What is the capital of Wyoming?
